application,approval,uid,gender,bal,prod_list,item,seq_len,item_neg
1,1,1765,1,75900,"71,25,0",48,3,11
0,0,1958,1,51921,"37,60,10",93,3,11
0,1,512,1,64706,"91,8,64",10,3,64
1,0,1345,1,97158,"20,82,58",8,3,67
1,1,1374,1,81248,"86,55,89",1,3,28
1,1,493,1,24967,"57,35,46",93,3,85
1,0,1451,2,64693,"47,4,64",7,3,47
1,0,960,1,29838,"30,3,7",100,3,3
0,0,650,1,97870,"80,29,53",70,3,31
1,1,1836,1,28044,"20,73,38",54,3,22
1,1,35,1,73108,"78,57,68",3,3,52
0,1,1460,2,29630,"95,96,8",64,3,41
0,1,1301,2,91676,"2,17,99",2,3,68
0,1,1327,1,87716,"24,68,67",84,3,36
0,0,118,2,79859,"65,85,16",19,3,39
0,0,1955,1,69069,"52,49,63",79,3,7
1,1,0,1,53380,"4,46,25",24,3,78
1,0,70,2,73397,"34,73,51",1,3,48
0,0,1514,1,68007,"51,81,63",48,3,81
1,1,1202,2,60682,"97,42,1",14,3,71
0,0,1315,2,84956,"21,70,37",15,3,8
1,1,1685,2,58324,"13,61,46",48,3,26
1,1,1979,2,88960,"92,7,100",96,3,93
0,0,143,1,84966,"76,21,82",63,3,43
0,0,1201,1,82619,"95,35,35",46,3,25
0,1,113,1,90766,"69,89,30",20,3,23
0,0,1559,1,59789,"6,64,60",9,3,82
1,1,1288,1,69408,"37,96,75",79,3,10
1,1,968,2,80540,"70,78,48",91,3,4
0,1,1436,2,26104,"2,43,32",58,3,72
1,1,937,1,16382,"56,92,46",71,3,55
1,0,1594,1,44201,"48,18,47",38,3,20
0,1,690,1,55111,"14,75,28",96,3,52
1,1,392,2,64900,"10,89,88",71,3,65
0,1,716,1,54895,"55,97,4",66,3,58
0,0,86,1,94438,"47,65,11",27,3,7
1,1,861,2,10893,"10,41,7",42,3,27
0,0,1586,1,52154,"21,40,72",80,3,98
1,1,807,1,46290,"2,94,66",59,3,94
1,1,1684,2,51243,"11,10,89",38,3,19
0,0,251,2,12223,"54,56,17",8,3,94
1,0,1011,2,65392,"42,75,86",63,3,84
1,0,68,1,51417,"37,92,58",95,3,36
1,0,45,2,31672,"42,6,54",47,3,12
0,1,810,1,89447,"23,16,14",96,3,41
1,0,1275,2,39621,"93,22,86",54,3,22
1,0,1748,2,63508,"100,5,36",66,3,21
0,0,1041,2,75306,"74,77,32",71,3,53
1,0,614,1,14834,"90,40,40",47,3,58
1,1,1521,2,94501,"19,5,68",100,3,13
0,0,63,2,27174,"20,79,37",60,3,64
0,1,1545,2,78059,"65,48,60",38,3,19
1,1,1912,1,66717,"23,76,34",87,3,19
0,0,271,1,45965,"23,50,35",52,3,75
1,0,795,2,40221,"80,76,42",30,3,57
0,1,1113,1,66116,"16,43,5",9,3,8
1,1,1342,1,69847,"56,81,30",77,3,93
1,1,1085,2,20417,"89,87,23",18,3,70
0,1,1038,1,13979,"41,75,96",39,3,54
0,1,937,1,69574,"1,47,52",50,3,32
0,0,1645,1,81153,"73,81,44",93,3,3
1,1,655,1,25944,"31,19,68",78,3,44
0,1,626,2,97796,"95,46,77",53,3,32
0,0,729,2,74200,"66,2,64",19,3,36
1,1,1018,1,78361,"60,1,41",31,3,54
0,0,1981,2,92874,"79,95,9",89,3,36
0,1,883,1,85727,"8,97,99",99,3,57
1,1,1131,2,94338,"7,56,39",70,3,19
1,1,926,2,52266,"9,64,90",87,3,63
0,0,1410,1,59132,"0,41,6",41,3,19
1,0,222,2,85053,"75,34,16",82,3,66
0,0,1464,1,14370,"35,72,15",64,3,37
1,0,1426,1,65841,"84,34,70",70,3,9
0,0,364,2,51244,"29,82,11",64,3,13
1,1,1058,2,97291,"25,26,54",1,3,62
1,1,1636,2,11501,"29,30,38",87,3,7
0,1,285,2,10430,"24,67,34",54,3,22
1,0,1,1,80558,"62,11,73",25,3,20
0,1,413,1,41988,"21,37,1",10,3,36
1,1,583,1,56285,"49,10,67",87,3,43
0,0,1550,1,47170,"76,95,3",73,3,75
1,0,883,1,39819,"63,52,58",11,3,85
1,0,339,1,45264,"27,43,92",20,3,99
1,0,138,1,37708,"57,1,62",71,3,48
0,1,835,1,46805,"62,17,84",31,3,4
0,0,518,1,42751,"43,12,96",64,3,32
1,0,1563,1,69328,"66,27,3",94,3,12
1,0,15,2,65519,"62,35,69",91,3,20
1,1,1482,2,98483,"96,21,53",65,3,18
0,1,1485,2,87330,"4,2,56",26,3,93
0,1,695,1,83437,"57,31,98",14,3,35
1,0,897,2,62421,"87,20,87",66,3,20
0,0,1628,2,98794,"45,82,6",76,3,38
1,0,1523,2,68723,"53,100,50",10,3,7
0,0,1866,1,75894,"10,7,78",5,3,16
0,1,99,1,22820,"41,37,47",5,3,21
1,1,1538,1,43670,"81,36,15",65,3,14
1,0,1936,1,10468,"96,27,42",79,3,19
0,1,1933,2,60978,"5,5,65",95,3,83
0,0,1933,2,12851,"34,87,59",80,3,56
0,1,14,1,37621,"12,74,67",59,3,68
1,0,1852,2,49619,"63,76,69",90,3,39
0,0,86,2,24922,"7,1,8",60,3,94
1,0,912,1,53512,"57,92,36",14,3,5
1,0,514,2,87079,"29,72,88",75,3,91
0,1,720,1,33960,"86,15,86",78,3,30
0,0,1004,1,63584,"34,12,94",36,3,35
0,1,230,1,98413,"42,1,14",58,3,20
1,0,799,1,51658,"80,2,75",43,3,28
0,0,331,2,92246,"90,29,84",16,3,84
1,1,1646,2,59876,"10,42,39",45,3,62
1,1,1925,2,66462,"86,52,43",29,3,83
0,0,436,2,88575,"34,34,85",74,3,61
0,1,837,2,51320,"61,27,53",70,3,35
1,1,370,1,25889,"14,2,58",76,3,56
0,0,1562,2,88023,"79,86,17",15,3,91
0,1,1452,1,20806,"17,82,51",23,3,51
1,1,586,2,30065,"50,100,59",75,3,51
0,1,640,1,72024,"29,24,62",18,3,38
0,1,1238,1,31367,"60,8,42",13,3,65
0,1,1610,2,20038,"8,23,27",75,3,14
1,1,1943,1,43798,"80,38,78",95,3,60
0,0,1576,2,96172,"64,66,44",94,3,83
0,0,1455,2,20874,"88,69,44",30,3,30
0,0,1441,2,11597,"12,66,76",1,3,31
1,1,726,1,92023,"6,15,87",65,3,3
0,1,1239,2,23933,"22,31,48",74,3,82
0,0,1298,1,93419,"10,40,26",85,3,42
1,0,473,2,83251,"57,79,88",22,3,35
0,0,377,1,64148,"69,43,54",62,3,2
1,0,1217,2,47711,"52,60,16",73,3,64
1,1,1987,1,99770,"2,23,57",98,3,52
1,1,725,2,24041,"9,91,33",75,3,16
0,1,1295,2,32001,"18,31,93",16,3,80
1,0,62,2,41016,"82,44,26",96,3,71
0,1,1035,1,86006,"62,12,50",33,3,61
1,0,174,1,50828,"41,91,3",84,3,99
1,1,1949,1,17972,"19,53,89",72,3,84
1,0,972,1,46239,"22,51,53",54,3,69
0,1,56,1,27602,"90,18,73",60,3,1
0,0,230,1,24655,"89,27,42",43,3,72
1,1,706,1,36544,"24,6,80",75,3,89
0,0,177,2,87995,"52,95,8",19,3,8
1,0,75,2,36397,"45,41,29",42,3,64
1,0,813,1,84277,"59,11,56",48,3,69
0,0,154,1,55791,"3,30,24",43,3,80
1,1,1240,2,21726,"12,26,32",9,3,46
0,0,1362,2,97928,"95,89,16",79,3,66
0,1,1733,2,30552,"90,87,91",24,3,26
1,0,106,2,68969,"51,99,82",99,3,22
1,1,1772,2,70754,"89,64,29",74,3,8
0,0,427,2,57140,"98,20,23",12,3,3
0,1,462,2,17380,"86,40,15",95,3,43
0,1,417,1,10988,"20,53,69",7,3,38
0,1,1312,1,26607,"22,3,11",60,3,77
1,0,1189,1,11532,"4,63,72",2,3,22
0,0,1144,2,67692,"10,42,64",24,3,10
0,0,615,1,77309,"100,70,68",44,3,80
0,0,895,2,55545,"53,89,6",38,3,72
0,1,1792,1,37260,"65,16,4",69,3,73
0,1,529,2,25936,"42,20,96",40,3,40
1,1,193,2,33840,"12,99,84",2,3,73
0,1,1990,1,44908,"39,49,13",53,3,82
0,1,973,1,35190,"3,48,56",90,3,81
0,0,1394,2,19574,"24,14,6",53,3,12
0,1,1834,1,88514,"65,75,65",48,3,79
0,0,821,1,18308,"30,23,72",7,3,9
1,0,1012,1,14704,"49,44,4",28,3,67
0,0,1560,2,63484,"61,14,26",95,3,67
1,1,1870,1,78549,"12,2,68",84,3,3
1,1,534,2,67956,"42,0,69",75,3,32
0,0,855,2,32089,"57,4,6",35,3,67
0,0,387,1,21647,"84,76,82",75,3,28
1,0,133,1,30743,"32,29,96",64,3,77
1,1,287,1,17845,"66,89,99",49,3,91
0,0,1298,1,45791,"99,30,94",94,3,1
0,0,1740,1,16316,"96,23,3",2,3,40
1,0,1147,2,83679,"55,89,14",58,3,30
0,0,367,2,10913,"41,56,94",7,3,13
1,1,588,2,12456,"83,18,40",89,3,63
1,0,1933,2,54833,"57,30,53",13,3,53
0,1,1342,1,75328,"29,87,34",14,3,9
1,0,1125,1,43986,"66,36,27",64,3,76
0,0,1604,1,62851,"92,70,49",4,3,75
1,0,1619,2,93470,"38,14,85",27,3,82
0,1,38,2,54510,"82,40,53",7,3,46
1,1,90,2,37507,"51,90,67",1,3,63
1,1,1739,1,94060,"17,63,59",44,3,14
1,0,393,2,45177,"42,24,95",91,3,95
0,1,102,2,36334,"71,41,47",62,3,15
0,0,740,2,14191,"63,91,57",73,3,55
0,1,215,2,55267,"9,55,44",24,3,83
0,0,1438,2,61781,"19,51,58",60,3,45
1,0,147,1,96221,"67,5,48",4,3,62
1,1,1426,1,68511,"34,34,87",54,3,80
1,1,602,2,22291,"82,16,34",87,3,72
0,1,855,2,21365,"96,16,98",89,3,6
1,1,395,2,51375,"2,19,56",38,3,5
0,0,1112,2,24330,"96,19,25",80,3,45
0,0,784,2,50429,"77,46,43",71,3,32
1,1,941,1,13993,"46,97,80",53,3,30
1,1,516,1,25206,"2,54,36",5,3,27
1,1,1025,2,92089,"96,94,3",27,3,56
1,0,885,1,91087,"52,88,44",26,3,18
0,1,1891,1,55508,"52,42,49",67,3,84
0,0,523,1,46391,"26,19,48",76,3,88
0,1,852,2,35158,"97,64,64",37,3,81
0,1,263,2,53080,"10,44,55",41,3,49
1,0,1755,2,32240,"0,12,9",45,3,75
0,1,545,1,70609,"35,18,5",77,3,76
1,1,452,1,75299,"41,96,9",23,3,22
1,1,1280,2,83505,"37,96,16",78,3,0
0,0,512,1,74325,"27,55,26",36,3,44
1,0,502,1,85664,"96,33,20",60,3,97
1,0,1408,1,15312,"51,46,33",84,3,96
0,1,228,2,57364,"40,29,72",80,3,85
1,0,931,2,60140,"17,84,91",26,3,58
0,1,1362,2,82273,"93,33,81",60,3,25
1,0,1970,1,97669,"80,25,82",27,3,78
0,1,1848,2,40604,"51,54,2",34,3,69
1,0,1641,2,53857,"52,18,18",27,3,66
1,0,1457,1,33866,"98,93,6",32,3,23
0,1,252,1,57157,"6,2,68",84,3,80
0,0,577,1,15532,"97,26,65",26,3,32
1,0,1967,2,27294,"55,52,9",18,3,70
0,0,398,1,97502,"42,91,37",50,3,73
1,1,1002,1,20942,"36,21,28",73,3,45
0,0,1250,1,41835,"65,12,42",75,3,11
1,0,1613,2,12000,"36,25,25",1,3,75
0,0,919,1,13663,"32,67,100",58,3,7
0,0,1578,1,81764,"55,68,19",98,3,22
1,0,359,1,29217,"19,100,9",49,3,85
0,0,1827,2,32320,"83,76,14",21,3,12
0,0,320,2,89007,"51,1,94",79,3,2
0,0,639,2,94628,"52,62,76",64,3,81
1,0,612,2,74940,"98,6,78",1,3,45
0,1,824,2,35679,"20,0,24",99,3,21
1,1,351,1,86376,"50,48,20",89,3,98
1,0,475,1,79624,"98,58,32",17,3,34
0,0,184,2,84128,"18,63,100",58,3,56
1,0,1616,1,23314,"24,84,5",4,3,60
0,1,462,2,53120,"18,47,18",10,3,68
0,1,775,2,78438,"80,84,60",43,3,46
1,1,1831,2,44573,"42,58,17",15,3,89
0,0,751,1,54860,"78,31,22",36,3,10
0,1,1561,1,92834,"97,51,86",73,3,93
1,0,586,1,54229,"8,37,55",87,3,57
1,0,1723,1,42403,"63,77,37",33,3,89
1,0,1356,1,64050,"8,40,46",66,3,6
0,0,781,2,56631,"22,60,32",72,3,48
1,0,591,1,46802,"77,37,11",88,3,6
1,0,1779,1,43852,"35,12,82",37,3,71
1,1,188,2,30914,"25,23,42",35,3,52
0,0,1566,2,11210,"90,55,9",16,3,31
0,0,426,1,59855,"17,4,7",27,3,59
0,0,1554,2,66118,"19,23,37",36,3,51
0,1,753,2,27497,"85,49,51",53,3,22
1,1,1970,1,72258,"85,58,46",14,3,49
0,0,189,2,13704,"27,51,92",93,3,10
0,1,39,2,63566,"23,1,91",52,3,36
0,0,176,1,32306,"34,88,88",23,3,68
0,0,1073,2,41240,"43,89,41",67,3,51
1,0,782,1,61045,"49,6,37",77,3,47
1,0,859,1,35903,"99,48,27",68,3,10
1,1,1772,1,95783,"2,26,21",50,3,23
1,0,1805,1,35908,"63,8,41",30,3,85
0,0,1114,1,70181,"84,41,5",57,3,34
0,0,1274,1,22046,"100,87,68",91,3,96
0,0,879,2,21482,"26,88,42",37,3,41
1,0,1656,1,14369,"58,19,73",10,3,41
1,1,1956,2,94305,"97,45,10",24,3,52
1,1,1758,2,76372,"7,61,9",79,3,40
0,1,1290,2,27670,"52,33,63",97,3,82
0,0,1763,2,24655,"95,42,94",35,3,70
1,0,1247,2,71215,"74,58,36",13,3,63
0,0,1092,1,81319,"3,62,55",41,3,5
0,0,1575,1,83432,"34,95,93",45,3,6
1,1,1071,1,92918,"4,48,69",31,3,16
1,0,402,1,40206,"59,71,40",20,3,0
1,0,1696,1,42117,"68,49,90",13,3,99
0,1,1364,1,82483,"3,74,20",13,3,26
1,0,1658,1,49186,"81,92,88",15,3,71
1,0,1041,2,36971,"46,79,45",1,3,9
0,1,245,2,60269,"82,43,64",86,3,33
0,0,1797,1,97130,"85,65,88",58,3,52
0,0,901,2,49619,"58,54,66",69,3,86
0,0,1806,2,69676,"4,71,92",13,3,40
0,1,392,1,33428,"9,9,44",49,3,1
0,1,749,1,16701,"0,91,24",29,3,67
1,0,1889,1,45645,"43,42,32",38,3,70
1,1,1456,2,95001,"10,15,75",9,3,10
0,1,1705,2,20667,"21,62,13",24,3,12
1,0,216,2,76411,"27,100,84",90,3,58
1,1,23,2,72836,"67,73,24",26,3,13
1,1,604,1,91075,"40,87,61",81,3,98
0,1,1303,1,87039,"60,4,78",29,3,83
1,1,1106,2,77040,"36,71,6",11,3,59
1,1,928,2,31192,"44,31,21",75,3,1
1,1,224,1,77232,"22,84,17",55,3,73
1,0,766,1,49484,"23,18,1",89,3,49
0,1,207,2,49141,"26,29,91",58,3,99
1,1,1379,2,42325,"26,78,69",10,3,69
0,1,788,2,85532,"33,9,15",66,3,83
0,0,718,2,93394,"67,43,35",51,3,67
1,0,1414,2,50390,"85,24,59",2,3,27
1,1,1720,2,99094,"58,64,7",15,3,85
1,1,791,1,82357,"73,99,19",47,3,4
0,0,1884,2,83825,"76,32,75",86,3,97
0,1,485,1,49570,"4,46,80",28,3,21
0,1,1837,1,91148,"5,30,66",86,3,88
0,0,893,2,81968,"64,94,71",94,3,68
0,0,9,2,37411,"15,9,34",4,3,33
1,0,1635,1,78713,"97,64,63",21,3,27
0,1,144,2,43204,"75,73,26",67,3,60
1,1,486,1,61500,"69,62,3",93,3,35
0,0,200,2,78157,"68,41,98",98,3,45
0,1,783,2,55584,"42,40,77",7,3,63
0,0,1951,1,50063,"38,57,21",94,3,30
1,1,1153,1,66156,"35,93,100",38,3,75
1,1,1581,1,76607,"89,60,93",75,3,66
0,0,552,1,41813,"2,16,71",73,3,76
0,1,1241,2,12074,"19,5,9",31,3,74
1,0,982,2,72822,"47,92,97",95,3,61
1,1,1769,1,42026,"56,33,68",77,3,14
0,0,664,2,97818,"50,77,12",33,3,37
1,0,1225,1,56855,"25,37,55",53,3,48
0,0,1462,2,51503,"82,67,2",14,3,76
0,0,1041,2,88404,"90,28,38",49,3,25
0,0,217,1,15436,"44,28,60",75,3,92
0,0,1905,2,47107,"60,11,51",75,3,94
1,1,1518,2,26898,"63,52,72",49,3,50
0,1,1445,2,82805,"1,48,62",67,3,76
1,0,326,2,75890,"24,4,57",91,3,76
0,1,938,2,74878,"33,3,29",15,3,0
0,0,759,2,34747,"32,20,2",77,3,10
1,0,316,2,32103,"87,27,26",100,3,81
1,1,1897,1,77619,"98,14,1",52,3,0
1,0,1634,2,18435,"5,58,62",75,3,57
1,1,1763,2,24158,"0,8,54",67,3,8
1,1,1343,2,88138,"29,38,67",4,3,53
0,1,433,2,30791,"82,83,24",57,3,62
1,0,1221,1,35047,"45,12,60",32,3,3
1,0,418,2,80262,"1,38,81",22,3,19
1,1,167,1,56977,"2,56,14",91,3,7
1,0,963,2,71623,"98,43,12",72,3,60
1,1,1082,2,14430,"35,61,43",42,3,43
0,0,1894,1,27333,"57,93,45",39,3,77
1,1,1838,2,56620,"47,13,41",47,3,26
0,0,155,2,49772,"80,48,83",49,3,37
1,0,976,1,15567,"87,62,79",70,3,77
1,1,928,1,55761,"59,68,10",16,3,73
0,0,50,2,46579,"5,92,72",71,3,45
0,1,1148,1,11139,"68,31,92",75,3,21
0,0,1041,1,32981,"68,33,52",12,3,22
0,0,1242,2,55297,"24,0,63",2,3,71
0,0,41,2,37483,"76,16,83",43,3,95
1,0,1632,2,66344,"94,16,77",69,3,28
0,1,1874,1,59212,"30,75,70",14,3,47
1,0,117,2,57918,"91,69,18",79,3,39
0,0,887,2,94866,"8,33,76",78,3,8
0,0,1136,1,87940,"94,46,90",2,3,14
0,1,513,1,29237,"40,7,83",30,3,98
0,1,472,1,23880,"30,59,41",34,3,75
1,1,184,1,54614,"59,78,87",23,3,91
0,1,1738,2,44249,"78,6,80",35,3,69
1,0,1298,1,12657,"86,44,31",6,3,72
1,0,97,1,44243,"12,67,66",13,3,47
1,1,140,1,70214,"68,7,63",51,3,90
1,1,55,1,13158,"58,72,47",36,3,1
1,0,1279,2,81453,"95,41,28",30,3,77
0,0,1885,2,27756,"33,0,5",73,3,69
0,1,600,2,35766,"72,56,25",46,3,40
1,0,1500,2,73116,"44,5,65",30,3,68
0,0,1491,2,99266,"50,68,16",17,3,9
0,1,642,1,89251,"98,0,22",83,3,28
1,1,24,1,34112,"90,14,45",15,3,82
0,1,1002,1,14134,"57,91,88",13,3,66
0,1,1065,1,35734,"37,61,10",42,3,22
0,1,1202,1,24667,"35,87,94",29,3,29
0,1,1891,2,69975,"33,68,71",28,3,62
0,0,1097,1,35023,"91,51,59",17,3,97
1,1,1520,1,11200,"29,8,63",3,3,37
0,0,760,2,48926,"87,47,53",88,3,5
0,1,1274,1,78564,"3,79,76",36,3,97
1,0,75,1,37542,"59,73,47",81,3,74
0,1,965,2,59708,"26,43,45",27,3,95
0,1,752,1,80822,"65,40,55",61,3,77
1,0,1591,2,58677,"29,38,89",3,3,96
1,1,426,2,80183,"0,32,36",88,3,93
0,1,1430,2,44217,"88,41,15",60,3,20
1,1,848,1,32621,"10,0,11",81,3,74
0,1,334,2,78016,"91,58,16",2,3,38
1,0,987,1,30390,"76,75,59",14,3,61
0,1,572,2,81801,"75,66,70",98,3,41
0,0,1628,2,13624,"49,4,71",83,3,22
0,0,1809,1,82039,"63,65,25",48,3,35
0,0,450,2,83816,"7,41,22",35,3,83
0,0,946,2,53136,"99,54,77",44,3,54
0,0,71,2,14996,"32,1,48",100,3,55
0,1,178,1,65558,"22,16,73",86,3,33
0,0,190,1,62163,"73,18,60",96,3,92
0,1,728,1,65608,"44,30,26",3,3,68
1,0,902,1,48298,"78,75,36",84,3,72
0,0,1344,2,75736,"68,12,98",34,3,61
1,1,1928,1,38657,"87,37,49",91,3,3
1,1,1753,1,22991,"64,44,24",66,3,16
0,1,753,2,85783,"3,92,33",68,3,81
0,0,1072,2,70810,"73,38,51",23,3,29
1,0,106,1,18226,"24,72,44",43,3,59
0,1,346,1,55875,"85,82,45",70,3,19
1,1,337,2,76299,"48,79,72",59,3,26
0,1,895,2,15884,"40,90,10",31,3,58
0,0,485,1,60541,"3,81,70",10,3,39
0,1,110,2,44584,"26,85,58",42,3,75
1,1,363,1,52252,"4,50,27",38,3,95
1,1,12,2,58332,"85,52,87",44,3,85
1,1,1753,2,61694,"99,57,12",100,3,15
0,0,924,2,65071,"24,99,95",1,3,43
1,0,1834,1,31165,"10,30,81",46,3,14
1,1,1888,2,53804,"4,60,100",8,3,22
0,0,351,2,20961,"18,5,6",65,3,75
1,1,506,2,72113,"18,58,84",4,3,79
1,1,1048,1,30296,"49,23,7",68,3,34
1,1,970,2,57375,"17,43,71",59,3,71
0,0,784,2,13638,"52,18,65",84,3,41
1,1,446,2,33018,"33,42,42",4,3,96
1,1,662,2,92414,"9,94,45",3,3,84
0,1,485,1,89909,"42,31,27",28,3,12
0,0,884,1,44433,"68,67,10",40,3,69
1,0,1833,1,16590,"89,25,90",74,3,10
1,1,1535,2,61414,"99,6,60",11,3,82
1,1,1004,2,27907,"4,47,48",72,3,20
0,1,88,2,75843,"92,30,34",23,3,30
1,0,1385,2,65211,"74,69,95",98,3,11
0,1,909,1,86978,"78,78,94",49,3,8
0,0,254,2,63421,"21,44,15",49,3,26
0,1,1239,2,60351,"29,7,100",94,3,99
1,0,1372,1,90247,"8,90,93",100,3,43
1,0,1763,1,35183,"58,1,50",48,3,95
0,0,118,2,68156,"9,76,0",51,3,52
1,1,1087,2,14199,"65,66,71",78,3,41
0,1,130,2,21572,"16,44,98",27,3,33
0,1,1831,2,55425,"26,39,79",21,3,70
1,1,648,1,51065,"16,99,97",51,3,2
0,1,1911,2,32324,"4,78,83",34,3,74
0,0,1974,2,81979,"77,89,87",16,3,41
0,1,1454,1,18795,"11,60,7",61,3,43
0,0,1813,2,42915,"81,23,21",48,3,30
1,1,734,1,51699,"86,26,87",2,3,3
0,0,1033,2,51214,"44,48,8",17,3,94
0,0,1514,2,74499,"46,12,5",82,3,45
1,1,1121,2,95320,"52,21,84",81,3,25
1,1,115,2,23795,"5,42,30",67,3,44
0,1,1241,1,39582,"18,61,55",76,3,38
1,1,585,2,82491,"13,31,2",26,3,26
0,0,1110,1,50336,"60,37,15",71,3,15
1,0,36,1,56441,"74,100,9",65,3,7
1,0,1896,1,98104,"44,12,54",65,3,41
0,0,347,2,75147,"74,10,31",44,3,54
0,0,1225,2,26547,"41,57,87",14,3,11
1,1,1996,1,28374,"32,97,35",8,3,60
1,1,1313,1,42389,"23,25,15",3,3,89
1,0,466,2,61867,"7,43,34",11,3,78
1,1,1549,1,34184,"60,10,93",97,3,94
1,1,797,1,69337,"24,31,25",37,3,86
1,1,486,1,66084,"69,23,63",87,3,72
1,1,1898,2,32447,"3,97,77",38,3,21
1,1,333,2,82255,"51,31,78",80,3,75
0,0,1268,1,12032,"44,29,62",66,3,72
1,1,1815,1,40186,"88,61,38",61,3,60
1,0,1545,2,81900,"1,17,12",38,3,53
0,1,1805,2,11898,"47,13,37",4,3,81
1,1,613,2,57243,"44,95,88",35,3,79
1,1,1476,1,92692,"88,15,63",9,3,25
1,0,1359,2,84666,"83,89,10",86,3,34
1,1,1455,2,68592,"71,42,54",10,3,7
1,1,45,1,42312,"1,29,80",86,3,28
1,1,597,2,13652,"49,10,0",83,3,99
0,1,793,2,75851,"10,96,53",12,3,90
0,0,239,2,67998,"50,17,83",16,3,81
0,0,387,1,49088,"5,4,12",77,3,46
0,1,1065,2,63084,"47,100,49",3,3,87
1,0,746,1,71255,"47,33,31",35,3,37
0,0,1763,1,69437,"24,70,7",42,3,36
0,1,1395,2,95740,"100,21,66",49,3,60
1,1,1752,1,45132,"67,32,98",55,3,32
0,1,1164,2,38887,"4,92,84",55,3,3
0,1,1288,2,51958,"55,70,72",63,3,29
0,1,824,2,86779,"66,52,13",90,3,12
1,1,689,1,68484,"48,33,5",24,3,13
1,1,953,2,24453,"27,97,4",49,3,79
0,1,1641,2,69882,"67,53,30",36,3,47
0,1,1964,1,73755,"36,36,92",54,3,60
1,1,1289,2,41290,"28,12,92",48,3,25
0,1,1632,2,46123,"43,0,27",50,3,44
0,1,464,1,77897,"85,32,82",84,3,12
0,0,779,2,84113,"60,76,0",50,3,19
0,0,369,2,26958,"3,3,1",85,3,20
0,0,353,2,77002,"16,67,96",6,3,91
1,0,377,2,27066,"59,30,0",45,3,86
1,1,1556,2,51733,"23,56,71",82,3,30
0,1,1412,1,61366,"41,24,17",36,3,15
1,1,460,1,95069,"16,45,20",99,3,18
1,0,1622,1,30800,"68,86,13",78,3,66
1,1,252,1,41388,"94,58,94",16,3,85
1,0,317,1,18646,"21,57,36",72,3,62
1,1,1787,2,46789,"6,51,13",86,3,7
1,0,284,2,53910,"30,88,1",86,3,43
1,0,545,2,35043,"81,9,50",32,3,86
0,1,1460,1,68619,"85,24,11",73,3,63
0,1,655,1,42780,"7,62,23",56,3,16
1,0,1377,1,31013,"82,1,9",27,3,96
0,1,585,2,84291,"35,36,51",9,3,73
0,1,1831,1,73758,"79,66,63",81,3,82
1,1,351,2,94083,"26,20,69",16,3,20
0,1,1538,2,76063,"31,2,93",26,3,41
1,0,1284,1,28970,"73,70,68",16,3,98
1,1,821,1,93763,"96,100,94",46,3,14
1,0,706,1,32725,"40,70,0",94,3,32
0,1,943,2,16434,"99,44,28",20,3,89
1,1,832,1,72663,"14,74,73",68,3,22
1,0,192,2,33016,"34,48,81",58,3,82
1,1,1177,1,97842,"40,79,25",40,3,46
0,0,21,2,61994,"39,72,13",44,3,55
1,1,690,1,31379,"39,63,13",19,3,51
0,1,1436,2,33332,"21,84,61",32,3,86
1,0,576,2,35907,"48,66,29",99,3,69
1,1,1654,1,71210,"74,43,50",14,3,51
1,0,1580,1,26393,"27,93,24",70,3,7
1,0,1003,2,66214,"84,23,97",28,3,75
0,0,1278,1,89378,"37,27,19",21,3,99
0,0,1551,1,47154,"12,67,19",15,3,97
0,1,1458,2,41978,"46,90,75",39,3,97
0,1,486,2,84062,"27,57,26",78,3,3
0,1,1058,2,34840,"14,75,65",9,3,81
0,1,1854,1,93240,"43,49,35",93,3,52
0,1,1347,1,40312,"55,96,92",83,3,5
1,1,1296,2,73884,"25,32,27",23,3,48
0,0,1567,1,81723,"59,28,96",7,3,31
1,0,304,1,82347,"87,46,88",27,3,44
0,0,1491,2,31828,"51,81,69",34,3,36
1,0,1535,2,94462,"20,19,66",66,3,95
1,1,1125,1,55675,"42,9,36",69,3,94
1,0,1769,1,28224,"92,24,32",3,3,40
0,1,367,2,99871,"93,10,69",60,3,4
0,0,428,1,39789,"79,57,10",7,3,71
1,0,220,2,19261,"86,64,9",41,3,95
0,0,1673,2,35234,"93,95,39",74,3,37
1,1,1781,1,36603,"97,30,45",63,3,60
1,1,1298,2,99229,"35,16,90",20,3,63
0,0,1776,1,99051,"5,25,22",71,3,86
1,1,197,2,69096,"62,80,89",2,3,13
0,0,966,2,61675,"7,42,34",31,3,19
0,0,229,1,93986,"0,51,41",23,3,48
0,1,856,1,78972,"74,20,61",68,3,77
1,0,288,1,22476,"92,19,90",12,3,84
0,0,643,2,63793,"13,100,25",67,3,31
1,1,1652,1,81274,"33,59,97",99,3,36
1,0,1839,2,78258,"3,83,19",94,3,96
0,0,1490,2,74015,"55,86,68",6,3,24
1,1,1584,1,85419,"17,74,0",20,3,18
1,0,1442,1,10257,"73,80,33",13,3,12
1,0,775,2,46281,"1,4,77",9,3,24
1,1,731,1,35455,"40,87,93",44,3,2
1,1,1363,1,95757,"86,92,40",87,3,56
0,0,1858,2,60182,"32,25,0",50,3,53
1,0,1716,2,10509,"51,24,82",34,3,41
0,1,1420,2,25263,"13,22,27",57,3,74
1,0,1678,2,40480,"91,64,52",64,3,57
1,1,938,2,57695,"37,14,5",65,3,34
